linha,bairro,data,hora,passageiros
405,Piçarra,2024-01-12,09:00,5
402,Ilhotas,2024-01-23,14:00,38
402,Ilhotas,2024-01-28,09:00,17
406,Dirceu,2024-01-25,18:30,37
404,Saci,2024-01-05,20:00,20
401,Ilhotas,2024-01-12,18:30,52
401,Dirceu,2024-01-24,15:00,61
401,Renascença,2024-01-28,16:00,54
401,Dirceu,2024-01-02,17:00,48
406,Mocambinho,2024-01-28,07:30,13
406,Centro,2024-01-06,05:30,73
403,Centro,2024-01-11,06:30,37
401,Ilhotas,2024-01-26,09:00,5
407,Renascença,2024-01-21,19:00,18
406,Marquês,2024-01-01,15:00,5
408,Piçarra,2024-01-13,08:30,29
408,Dirceu,2024-01-16,08:30,12
406,Piçarra,2024-01-29,07:00,48
406,Renascença,2024-01-17,08:00,78
408,Centro,2024-01-18,21:00,59
405,Piçarra,2024-01-22,16:00,62
407,Dirceu,2024-01-09,21:30,33
408,Dirceu,2024-01-28,20:30,62
401,Centro,2024-01-08,19:00,13
407,Piçarra,2024-01-10,17:00,53
408,Piçarra,2024-01-18,14:30,72
406,Renascença,2024-01-11,16:30,10
401,Piçarra,2024-01-18,14:00,35
407,Piçarra,2024-01-23,11:30,15
405,Renascença,2024-01-19,19:00,73
408,Saci,2024-01-19,14:00,62
402,Marquês,2024-01-26,19:00,56
406,Mocambinho,2024-01-01,22:30,25
407,Piçarra,2024-01-09,18:00,55
405,Dirceu,2024-01-11,06:00,76
404,Mocambinho,2024-01-01,16:30,8
404,Renascença,2024-01-10,13:00,75
401,Centro,2024-01-25,22:30,51
405,Centro,2024-01-18,10:30,64
401,Dirceu,2024-01-06,06:00,49
401,Mocambinho,2024-01-21,19:00,24
402,Marquês,2024-01-09,19:00,21
407,Centro,2024-01-04,21:30,37
403,Centro,2024-01-14,16:00,77
403,Renascença,2024-01-21,10:30,51
403,Renascença,2024-01-24,08:00,17
402,Piçarra,2024-01-17,09:30,28
402,Mocambinho,2024-01-18,12:00,44
408,Mocambinho,2024-01-10,17:00,78
401,Saci,2024-01-18,22:00,66
404,Centro,2024-01-14,12:00,61
405,Renascença,2024-01-03,15:30,53
402,Centro,2024-01-18,14:30,22
405,Dirceu,2024-01-28,13:00,20
402,Piçarra,2024-01-04,13:00,63
404,Saci,2024-01-16,07:30,56
405,Ilhotas,2024-01-15,17:00,49
404,Piçarra,2024-01-16,06:30,28
404,Renascença,2024-01-11,08:30,26
406,Centro,2024-01-24,12:30,17
403,Renascença,2024-01-21,22:00,22
405,Saci,2024-01-14,18:30,70
408,Mocambinho,2024-01-19,06:00,32
401,Mocambinho,2024-01-15,19:00,17
407,Saci,2024-01-26,08:00,27
408,Piçarra,2024-01-09,11:30,41
406,Centro,2024-01-24,19:30,45
405,Saci,2024-01-16,17:30,74
407,Renascença,2024-01-29,06:30,76
408,Piçarra,2024-01-25,08:00,78
408,Dirceu,2024-01-27,10:30,12
404,Dirceu,2024-01-17,05:30,46
403,Centro,2024-01-17,09:30,69
406,Piçarra,2024-01-28,11:00,38
406,Piçarra,2024-01-11,05:00,65
406,Renascença,2024-01-29,12:00,67
403,Centro,2024-01-14,16:00,34
408,Centro,2024-01-10,16:30,34
404,Centro,2024-01-16,07:00,32
406,Saci,2024-01-09,08:30,54
405,Piçarra,2024-01-18,10:30,64
406,Centro,2024-01-11,06:00,48
406,Centro,2024-01-30,22:30,26
405,Piçarra,2024-01-03,07:00,18
407,Dirceu,2024-01-17,12:30,40
401,Renascença,2024-01-01,22:30,43
405,Mocambinho,2024-01-13,13:00,63
408,Marquês,2024-01-29,07:00,28
403,Saci,2024-01-01,11:30,38
403,Dirceu,2024-01-22,18:00,8
406,Ilhotas,2024-01-25,13:00,29
403,Marquês,2024-01-11,08:00,76
408,Saci,2024-01-02,18:30,15
402,Mocambinho,2024-01-20,17:30,77
403,Centro,2024-01-28,12:00,47
403,Marquês,2024-01-28,06:00,32
402,Marquês,2024-01-04,18:00,50
401,Piçarra,2024-01-23,11:00,63
405,Piçarra,2024-01-01,09:00,42
401,Ilhotas,2024-01-16,18:30,59
407,Centro,2024-01-11,09:00,22
406,Renascença,2024-01-01,20:30,10
408,Piçarra,2024-01-01,15:00,67
404,Ilhotas,2024-01-08,18:00,48
407,Piçarra,2024-01-06,19:00,45
408,Piçarra,2024-01-11,05:00,78
403,Piçarra,2024-01-03,09:00,56
401,Dirceu,2024-01-25,22:30,64
406,Renascença,2024-01-22,05:00,35
408,Marquês,2024-01-08,10:00,21
401,Saci,2024-01-19,12:00,61
403,Marquês,2024-01-04,07:00,78
408,Ilhotas,2024-01-22,05:00,42
406,Centro,2024-01-12,15:00,60
403,Marquês,2024-01-27,05:00,10
403,Renascença,2024-01-16,09:30,57
403,Piçarra,2024-01-13,06:00,44
408,Renascença,2024-01-25,14:00,26
407,Marquês,2024-01-03,22:00,45
408,Saci,2024-01-06,14:30,42
405,Ilhotas,2024-01-15,05:30,6
401,Piçarra,2024-01-10,06:00,47
408,Dirceu,2024-01-23,21:30,35
401,Renascença,2024-01-21,09:00,30
404,Renascença,2024-01-24,22:00,70
406,Dirceu,2024-01-22,11:00,16
402,Marquês,2024-01-01,07:30,70
401,Saci,2024-01-06,21:30,71
403,Centro,2024-01-02,05:30,55
407,Renascença,2024-01-12,19:00,65
405,Dirceu,2024-01-21,10:00,28
407,Ilhotas,2024-01-26,06:00,33
405,Saci,2024-01-28,15:00,6
406,Mocambinho,2024-01-19,11:00,5
407,Marquês,2024-01-24,17:30,70
408,Marquês,2024-01-19,05:30,68
405,Marquês,2024-01-13,06:30,16
401,Marquês,2024-01-17,05:00,15
402,Ilhotas,2024-01-21,15:00,58
402,Centro,2024-01-26,18:30,17
401,Piçarra,2024-01-03,13:30,78
404,Dirceu,2024-01-06,17:30,57
403,Dirceu,2024-01-05,15:30,18
403,Saci,2024-01-25,22:30,80
407,Saci,2024-01-18,18:00,20
402,Renascença,2024-01-10,05:30,80
408,Centro,2024-01-28,11:30,67
407,Piçarra,2024-01-03,08:00,58
401,Saci,2024-01-24,10:30,34
407,Dirceu,2024-01-26,10:30,12
401,Mocambinho,2024-01-17,20:30,80
401,Renascença,2024-01-02,09:30,31
401,Marquês,2024-01-01,18:00,13
401,Dirceu,2024-01-08,08:30,66
401,Ilhotas,2024-01-18,22:00,24
407,Saci,2024-01-16,18:30,38
404,Dirceu,2024-01-13,07:30,77
407,Saci,2024-01-09,19:00,66
406,Saci,2024-01-18,06:30,73
405,Marquês,2024-01-17,14:30,20
404,Saci,2024-01-17,13:00,18
408,Mocambinho,2024-01-08,12:00,76
406,Marquês,2024-01-09,21:30,15
402,Centro,2024-01-01,09:30,30
404,Dirceu,2024-01-20,22:00,30
402,Dirceu,2024-01-19,16:00,53
404,Ilhotas,2024-01-10,09:00,24
406,Saci,2024-01-28,05:30,80
406,Marquês,2024-01-18,16:30,40
404,Saci,2024-01-13,20:30,28
405,Piçarra,2024-01-22,17:30,61
406,Saci,2024-01-19,16:30,78
405,Marquês,2024-01-29,17:00,55
406,Ilhotas,2024-01-05,17:30,16
404,Saci,2024-01-31,21:30,34
401,Ilhotas,2024-01-14,12:30,10
403,Marquês,2024-01-19,19:30,67
404,Marquês,2024-01-11,19:00,37
406,Piçarra,2024-01-03,19:30,75
405,Centro,2024-01-27,06:00,9
404,Saci,2024-01-14,07:30,55
405,Mocambinho,2024-01-19,07:00,5
401,Marquês,2024-01-06,11:30,45
408,Piçarra,2024-01-23,11:00,48
408,Dirceu,2024-01-08,10:30,32
403,Centro,2024-01-15,17:30,29
403,Ilhotas,2024-01-29,20:00,20
407,Centro,2024-01-19,19:30,80
401,Centro,2024-01-29,09:30,22
405,Piçarra,2024-01-20,12:30,77
403,Mocambinho,2024-01-05,17:30,52
404,Mocambinho,2024-01-18,18:00,38
404,Centro,2024-01-18,10:30,25
401,Marquês,2024-01-24,10:00,66
404,Centro,2024-01-28,21:30,51
403,Saci,2024-01-29,09:00,15
403,Renascença,2024-01-13,13:30,8
402,Saci,2024-01-29,19:00,70
401,Marquês,2024-01-05,17:00,58
401,Dirceu,2024-01-14,18:30,39
401,Marquês,2024-01-04,13:30,40
401,Saci,2024-01-30,12:00,27
407,Ilhotas,2024-01-14,22:30,48
405,Saci,2024-01-03,08:00,18
405,Renascença,2024-01-30,13:30,64
401,Ilhotas,2024-01-25,17:00,39
403,Piçarra,2024-01-31,15:30,50
402,Mocambinho,2024-01-24,20:30,63
405,Saci,2024-01-22,11:30,6
403,Ilhotas,2024-01-16,05:00,61
401,Piçarra,2024-01-19,16:30,65
405,Piçarra,2024-01-16,22:00,17
402,Renascença,2024-01-04,19:00,15
402,Centro,2024-01-17,13:30,47
401,Dirceu,2024-01-30,15:30,79
406,Ilhotas,2024-01-02,10:00,17
406,Mocambinho,2024-01-12,13:30,45
403,Dirceu,2024-01-04,09:30,55
401,Mocambinho,2024-01-03,19:00,24
407,Renascença,2024-01-30,15:30,23
404,Dirceu,2024-01-01,21:00,77
407,Piçarra,2024-01-25,06:00,56
404,Renascença,2024-01-14,15:30,29
404,Piçarra,2024-01-12,22:00,55
402,Mocambinho,2024-01-23,15:00,37
401,Centro,2024-01-05,11:00,5
402,Renascença,2024-01-05,22:30,18
408,Dirceu,2024-01-20,05:00,52
402,Ilhotas,2024-01-11,07:00,42
408,Mocambinho,2024-01-31,08:00,11
408,Renascença,2024-01-21,10:00,54
403,Mocambinho,2024-01-11,19:30,55
403,Marquês,2024-01-21,14:30,19
403,Renascença,2024-01-05,08:30,60
403,Mocambinho,2024-01-09,10:00,12
403,Renascença,2024-01-04,19:30,43
404,Renascença,2024-01-17,13:00,13
406,Ilhotas,2024-01-26,06:30,36
402,Renascença,2024-01-06,08:00,66
408,Renascença,2024-01-20,15:00,63
405,Mocambinho,2024-01-12,16:30,40
403,Centro,2024-01-31,05:30,76
402,Marquês,2024-01-29,21:00,30
401,Piçarra,2024-01-07,12:30,34
404,Centro,2024-01-21,16:30,16
404,Dirceu,2024-01-14,07:30,21
408,Mocambinho,2024-01-21,10:00,49
401,Mocambinho,2024-01-27,12:30,61
401,Ilhotas,2024-01-13,06:30,41
402,Ilhotas,2024-01-12,05:30,57
403,Marquês,2024-01-10,06:30,33
405,Dirceu,2024-01-17,12:00,57
401,Marquês,2024-01-30,22:00,5
405,Saci,2024-01-21,11:00,57
402,Piçarra,2024-01-16,21:30,50
407,Centro,2024-01-22,06:30,62
404,Dirceu,2024-01-13,21:30,61
404,Centro,2024-01-27,13:00,29
405,Ilhotas,2024-01-24,05:00,7
401,Mocambinho,2024-01-08,22:30,8
404,Renascença,2024-01-23,15:30,11
405,Renascença,2024-01-14,12:00,60
403,Renascença,2024-01-15,09:00,39
402,Saci,2024-01-01,12:30,36
405,Renascença,2024-01-07,12:00,70
403,Dirceu,2024-01-30,17:30,42
404,Ilhotas,2024-01-15,12:30,80
401,Ilhotas,2024-01-03,10:30,62
401,Piçarra,2024-01-16,05:30,70
401,Ilhotas,2024-01-07,10:30,50
408,Marquês,2024-01-10,22:30,53
408,Marquês,2024-01-27,05:30,70
404,Piçarra,2024-01-19,12:30,39
406,Renascença,2024-01-25,22:00,12
403,Dirceu,2024-01-20,15:00,71
408,Renascença,2024-01-31,14:30,71
405,Mocambinho,2024-01-06,13:00,18
408,Renascença,2024-01-18,10:30,34
405,Piçarra,2024-01-14,17:00,22
403,Centro,2024-01-06,05:00,47
407,Marquês,2024-01-03,05:30,41
402,Mocambinho,2024-01-15,21:30,41
406,Ilhotas,2024-01-09,15:30,79
401,Marquês,2024-01-16,16:00,60
407,Renascença,2024-01-14,18:00,56
407,Dirceu,2024-01-14,16:30,13
402,Mocambinho,2024-01-23,21:00,61
405,Mocambinho,2024-01-07,08:00,74
408,Renascença,2024-01-16,10:00,79
403,Marquês,2024-01-19,18:30,57
406,Mocambinho,2024-01-26,11:30,21
404,Ilhotas,2024-01-28,15:00,40
404,Centro,2024-01-07,15:00,33
408,Mocambinho,2024-01-01,08:30,24
401,Renascença,2024-01-25,19:30,57
401,Mocambinho,2024-01-28,21:00,6
401,Piçarra,2024-01-31,11:00,24
401,Marquês,2024-01-17,12:00,75
402,Saci,2024-01-02,12:30,14
404,Saci,2024-01-18,07:30,73
407,Mocambinho,2024-01-23,13:30,40
405,Marquês,2024-01-15,05:00,16
404,Ilhotas,2024-01-20,22:30,48
401,Piçarra,2024-01-31,14:30,46
406,Renascença,2024-01-18,10:30,51
405,Marquês,2024-01-05,07:30,16
406,Mocambinho,2024-01-13,21:30,68
402,Centro,2024-01-11,06:00,40
404,Piçarra,2024-01-16,07:30,63
406,Dirceu,2024-01-21,21:30,65
403,Marquês,2024-01-30,14:00,11
404,Saci,2024-01-20,10:30,33
403,Renascença,2024-01-03,17:30,70
401,Centro,2024-01-21,07:00,53
408,Renascença,2024-01-10,11:30,36
404,Ilhotas,2024-01-14,20:00,41
407,Centro,2024-01-01,08:00,63
406,Marquês,2024-01-30,13:30,65
401,Dirceu,2024-01-05,05:00,30
408,Marquês,2024-01-25,20:30,72
408,Centro,2024-01-19,18:00,39
403,Centro,2024-01-28,10:00,16
401,Centro,2024-01-01,13:30,40
404,Piçarra,2024-01-28,07:30,12
402,Saci,2024-01-15,17:30,13
406,Saci,2024-01-28,15:00,21
401,Piçarra,2024-01-05,13:30,23
403,Marquês,2024-01-20,14:30,39
405,Ilhotas,2024-01-10,17:00,12
408,Saci,2024-01-17,20:30,65
402,Renascença,2024-01-26,05:00,70
402,Mocambinho,2024-01-08,07:30,68
402,Mocambinho,2024-01-18,15:30,41
401,Piçarra,2024-01-06,13:00,43
405,Saci,2024-01-08,09:30,52
404,Centro,2024-01-02,22:30,40
405,Dirceu,2024-01-20,11:00,76
405,Mocambinho,2024-01-03,10:30,34
404,Centro,2024-01-21,09:30,10
408,Dirceu,2024-01-19,20:00,36
404,Marquês,2024-01-03,07:30,77
405,Saci,2024-01-16,05:30,45
406,Renascença,2024-01-20,09:00,10
408,Renascença,2024-01-07,11:30,40
408,Mocambinho,2024-01-10,16:00,69
401,Dirceu,2024-01-01,18:30,48
408,Ilhotas,2024-01-29,14:30,73
407,Ilhotas,2024-01-08,15:00,64
408,Saci,2024-01-20,14:30,63
408,Piçarra,2024-01-15,12:30,25
408,Dirceu,2024-01-23,09:00,37
404,Mocambinho,2024-01-09,17:30,49
407,Piçarra,2024-01-11,13:30,78
408,Saci,2024-01-31,16:00,62
401,Marquês,2024-01-11,08:00,60
405,Mocambinho,2024-01-23,21:00,76
405,Mocambinho,2024-01-23,07:00,77
407,Renascença,2024-01-17,11:30,37
403,Saci,2024-01-28,08:30,17
403,Mocambinho,2024-01-02,15:30,30
408,Renascença,2024-01-28,12:00,67
407,Saci,2024-01-02,12:00,72
402,Saci,2024-01-23,19:00,25
405,Marquês,2024-01-29,18:30,9
408,Dirceu,2024-01-02,12:00,61
406,Saci,2024-01-18,17:00,30
406,Ilhotas,2024-01-03,17:30,39
405,Ilhotas,2024-01-14,18:30,39
402,Centro,2024-01-13,16:00,51
401,Dirceu,2024-01-28,08:30,11
407,Mocambinho,2024-01-17,06:00,60
404,Saci,2024-01-18,14:30,79
406,Mocambinho,2024-01-03,14:00,38
408,Dirceu,2024-01-15,15:30,48
407,Dirceu,2024-01-18,14:30,51
406,Saci,2024-01-18,17:00,31
405,Mocambinho,2024-01-27,22:30,32
407,Centro,2024-01-18,10:00,28
404,Marquês,2024-01-20,08:30,31
407,Marquês,2024-01-30,06:00,63
408,Renascença,2024-01-18,14:00,27
402,Mocambinho,2024-01-17,10:00,71
402,Mocambinho,2024-01-27,18:00,68
404,Centro,2024-01-11,05:00,32
408,Saci,2024-01-28,10:30,16
407,Saci,2024-01-22,14:30,41
401,Centro,2024-01-30,09:30,6
402,Mocambinho,2024-01-30,07:00,6
407,Mocambinho,2024-01-04,17:00,64
406,Saci,2024-01-28,12:30,56
401,Saci,2024-01-31,18:00,51
403,Renascença,2024-01-02,17:30,77
408,Centro,2024-01-17,12:30,63
407,Ilhotas,2024-01-29,17:30,18
403,Renascença,2024-01-13,16:00,12
402,Mocambinho,2024-01-06,12:00,56
402,Saci,2024-01-24,08:00,46
405,Mocambinho,2024-01-05,14:00,41
401,Dirceu,2024-01-20,20:00,31
408,Centro,2024-01-28,07:00,14
407,Piçarra,2024-01-23,21:30,73
403,Piçarra,2024-01-25,11:00,76
407,Piçarra,2024-01-15,11:30,28
402,Centro,2024-01-25,09:30,48
405,Piçarra,2024-01-06,15:00,54
408,Marquês,2024-01-17,09:30,80
401,Marquês,2024-01-18,20:30,41
406,Marquês,2024-01-02,13:00,29
403,Mocambinho,2024-01-06,17:00,7
402,Saci,2024-01-06,07:00,44
405,Saci,2024-01-22,05:00,71
402,Mocambinho,2024-01-06,19:00,75
401,Marquês,2024-01-07,18:30,73
406,Ilhotas,2024-01-13,16:30,11
408,Renascença,2024-01-08,13:30,47
403,Piçarra,2024-01-01,06:30,35
406,Piçarra,2024-01-01,16:30,45
404,Marquês,2024-01-28,20:00,55
404,Renascença,2024-01-08,14:00,8
403,Centro,2024-01-24,15:30,20
406,Mocambinho,2024-01-01,21:30,6
404,Mocambinho,2024-01-19,06:00,74
402,Piçarra,2024-01-04,06:00,56
